time,select
2022-09-11 08:00:00+08:00,BTC
2022-09-12 08:00:00+08:00,BTC
2022-09-13 08:00:00+08:00,ETH
2022-09-14 08:00:00+08:00,ETH
2022-09-15 08:00:00+08:00,BTC
2022-09-16 08:00:00+08:00,BTC
2022-09-17 08:00:00+08:00,ETH
2022-09-18 08:00:00+08:00,BTC
2022-09-19 08:00:00+08:00,ETH
2022-09-20 08:00:00+08:00,BTC
2022-09-21 08:00:00+08:00,BTC
2022-09-22 08:00:00+08:00,ETH
2022-09-23 08:00:00+08:00,ETH
2022-09-24 08:00:00+08:00,ETH
2022-09-25 08:00:00+08:00,BTC
2022-09-26 08:00:00+08:00,ETH
2022-09-27 08:00:00+08:00,ETH
2022-09-28 08:00:00+08:00,BTC
2022-09-29 08:00:00+08:00,BTC
2022-09-30 08:00:00+08:00,ETH
2022-10-01 08:00:00+08:00,BTC
2022-10-02 08:00:00+08:00,BTC
2022-10-03 08:00:00+08:00,ETH
2022-10-04 08:00:00+08:00,BTC
2022-10-05 08:00:00+08:00,ETH
2022-10-06 08:00:00+08:00,ETH
2022-10-07 08:00:00+08:00,ETH
2022-10-08 08:00:00+08:00,BTC
2022-10-09 08:00:00+08:00,ETH
2022-10-10 08:00:00+08:00,BTC
2022-10-11 08:00:00+08:00,BTC
2022-10-12 08:00:00+08:00,ETH
2022-10-13 08:00:00+08:00,BTC
2022-10-14 08:00:00+08:00,ETH
2022-10-15 08:00:00+08:00,BTC
2022-10-16 08:00:00+08:00,ETH
2022-10-17 08:00:00+08:00,ETH
2022-10-18 08:00:00+08:00,BTC
2022-10-19 08:00:00+08:00,BTC
2022-10-20 08:00:00+08:00,ETH
2022-10-21 08:00:00+08:00,ETH
2022-10-22 08:00:00+08:00,ETH
2022-10-23 08:00:00+08:00,ETH
2022-10-24 08:00:00+08:00,BTC
2022-10-25 08:00:00+08:00,ETH
2022-10-26 08:00:00+08:00,ETH
2022-10-27 08:00:00+08:00,BTC
2022-10-28 08:00:00+08:00,ETH
2022-10-29 08:00:00+08:00,ETH
